unix,open,high,low,close,vwap,volume,tradecount,date,volume_from
1643184600,2478.86,2478.87,2476.56,2476.69,2477.80,3.33910000,6,2022-01-26 08:10:00,8269.915579
1643184660,2476.66,2476.66,2475.81,2475.81,2476.18,5.06904042,13,2022-01-26 08:11:00,12549.9809622402
1643184720,2475.82,2477.01,2475.81,2475.81,2476.08,3.28676726,10,2022-01-26 08:12:00,8137.4112499806
1643184780,2475.82,2475.82,2471.76,2471.80,2475.14,38.17143485,18,2022-01-26 08:13:00,94352.15266223
1643184840,2471.78,2474.01,2470.98,2473.60,2472.69,2.39951687,17,2022-01-26 08:14:00,5935.444929631999
1643184900,2473.25,2473.25,2472.64,2472.79,2472.78,0.62574396,5,2022-01-26 08:15:00,1547.3334068484
1643184960,2472.10,2472.10,2470.48,2472.00,2471.82,17.14040988,6,2022-01-26 08:16:00,42371.09322336
1643185020,2471.60,2475.66,2471.60,2475.66,2472.94,57.85356653,21,2022-01-26 08:17:00,143225.7605156598
1643185080,2476.02,2476.55,2476.02,2476.55,2476.28,0.48535538,7,2022-01-26 08:18:00,1202.006866339
1643185140,2476.46,2477.11,2474.01,2474.01,2476.51,158.76462500,26,2022-01-26 08:19:00,392785.26989625004
1643185200,2474.00,2474.87,2473.02,2474.87,2474.16,20.73989695,13,2022-01-26 08:20:00,51328.5487646465
1643185260,2474.95,2477.25,2474.95,2476.24,2476.49,34.85861051,25,2022-01-26 08:21:00,86318.28568928239
1643185320,2476.33,2476.33,2476.33,2476.33,2476.33,0.04997572,1,2022-01-26 08:22:00,123.7563747076
1643185380,2476.58,2479.97,2476.58,2479.96,2479.13,24.68553048,19,2022-01-26 08:23:00,61219.1281691808
1643185440,2479.96,2479.96,2476.79,2477.28,2479.95,39.85916194,21,2022-01-26 08:24:00,98742.3046907232
1643185500,2479.73,2479.73,2477.50,2477.91,2479.31,2.91651040,12,2022-01-26 08:25:00,7226.8502852639995
1643185560,2478.04,2478.72,2477.66,2478.16,2478.23,1.98953085,6,2022-01-26 08:26:00,4930.375771235999
1643185620,2478.86,2478.87,2478.86,2478.87,2478.86,0.04812512,2,2022-01-26 08:27:00,119.2959162144
1643185680,2478.92,2490.28,2478.92,2487.13,2485.61,36.54367289,59,2022-01-26 08:28:00,90888.86515490571
1643185740,2484.29,2484.31,2482.59,2482.59,2484.30,3.31388889,3,2022-01-26 08:29:00,8227.0274194251
1643185800,2482.12,2484.51,2481.79,2484.51,2482.62,0.18126258,5,2022-01-26 08:30:00,450.34869263580003
1643185860,2485.49,2485.49,2485.09,2485.09,2485.48,2.20928467,4,2022-01-26 08:31:00,5490.2712405703005
1643185920,2484.32,2487.40,2484.32,2485.42,2486.03,160.69632698,33,2022-01-26 08:32:00,399397.8650026316
1643185980,2485.42,2490.26,2485.42,2489.47,2489.67,54.50145822,19,2022-01-26 08:33:00,135679.7451949434
1643186040,2489.48,2490.71,2487.42,2487.83,2489.97,170.49811125,35,2022-01-26 08:34:00,424170.31611108745
1643186100,2487.83,2491.65,2487.83,2490.25,2489.16,21.24489538,19,2022-01-26 08:35:00,52905.100720045
1643186160,2490.38,2490.38,2490.38,2490.38,2490.38,0.92539838,2,2022-01-26 08:36:00,2304.5936175844
1643186220,2491.62,2494.24,2490.76,2491.52,2493.50,30.31215657,28,2022-01-26 08:37:00,75523.3443372864
1643186280,2491.18,2491.62,2491.15,2491.15,2491.15,7.67435937,11,2022-01-26 08:38:00,19117.980344575502
1643186340,2491.14,2491.15,2490.31,2490.31,2490.94,4.49164856,8,2022-01-26 08:39:00,11185.597325453598
1643186400,2490.31,2490.31,2490.31,2490.31,0.00,0.00000000,0,2022-01-26 08:40:00,0.0
1643186460,2490.22,2491.07,2490.22,2491.07,2490.22,10.15934114,7,2022-01-26 08:41:00,25307.629933619803
1643186520,2490.22,2490.22,2488.42,2488.42,2489.77,0.15306866,3,2022-01-26 08:42:00,380.8991149172
1643186580,2487.98,2487.98,2487.09,2487.10,2487.16,0.35883738,6,2022-01-26 08:43:00,892.4644477979999
1643186640,2487.10,2489.50,2487.10,2489.50,2488.73,115.31652426,28,2022-01-26 08:44:00,287080.48714527
1643186700,2489.03,2489.03,2483.56,2483.56,2488.69,58.61320109,11,2022-01-26 08:45:00,145569.4016990804
1643186760,2482.23,2482.23,2480.36,2481.64,2480.90,2.43494407,6,2022-01-26 08:46:00,6042.6546018747995
1643186820,2479.28,2479.52,2478.97,2479.52,2479.17,0.04187913,4,2022-01-26 08:47:00,103.8401404176
1643186880,2482.22,2482.22,2481.01,2481.03,2481.26,5.77883644,8,2022-01-26 08:48:00,14337.466572733201
1643186940,2481.72,2481.72,2481.00,2481.01,2481.03,0.15451682,3,2022-01-26 08:49:00,383.3577755882
1643187000,2484.69,2489.13,2484.69,2489.13,2488.91,5.15160352,11,2022-01-26 08:50:00,12823.0108697376
1643187060,2487.86,2487.86,2487.86,2487.86,2487.86,0.40174840,1,2022-01-26 08:51:00,999.4937744240001
1643187120,2488.78,2489.40,2488.59,2488.98,2489.01,0.62059201,7,2022-01-26 08:52:00,1544.6411010498
1643187180,2489.09,2489.09,2486.76,2487.49,2487.58,4.09014473,10,2022-01-26 08:53:00,10174.194114427699
1643187240,2485.96,2486.08,2485.50,2486.08,2485.95,0.40257765,3,2022-01-26 08:54:00,1000.8402441119999
1643187300,2486.08,2486.08,2486.08,2486.08,0.00,0.00000000,0,2022-01-26 08:55:00,0.0
1643187360,2489.99,2493.71,2489.99,2493.71,2492.63,5.21142591,18,2022-01-26 08:56:00,12995.7849060261
1643187420,2491.56,2491.56,2491.56,2491.56,2491.56,10.00124415,1,2022-01-26 08:57:00,24918.699874374
1643187480,2490.94,2490.94,2489.54,2489.54,2490.87,1.05000000,2,2022-01-26 08:58:00,2614.0170000000003
1643187540,2491.20,2493.04,2491.20,2492.06,2491.95,0.66055800,6,2022-01-26 08:59:00,1646.15016948
1643187600,2488.62,2489.38,2488.62,2489.38,2488.84,4.69440765,11,2022-01-26 09:00:00,11686.164515757
